"统计时间","在线车辆数","运行里程","运行时长"
"2019-11-11","78.00","5233.43","273.0000"
"2019-12-14","54.00","3578.53","182.0000"
"2019-12-29","5.00","220.54","16.0000"
"2020-02-10","70.00","4004.58","197.0000"
"2020-02-15","54.00","3589.73","184.0000"
"2020-02-13","62.00","4101.08","210.0000"
"2020-04-01","60.00","4716.03","237.0000"
"2020-06-01","72.00","5670.25","289.0000"
"2020-08-12","137.00","8214.22","439.0000"
"2020-08-07","128.00","7069.83","391.0000"
"2020-10-10","127.00","7041.40","410.0000"
"2020-10-12","129.00","7388.96","404.0000"
"2020-10-30","127.00","7132.01","391.0000"
"2019-05-28","79.00","5820.71","276.0000"
"2019-06-25","78.00","5829.08","283.0000"
"2019-08-15","1.00","6.72","0.0000"
"2019-09-26","79.00","5773.33","282.0000"
"2019-09-21","75.00","5486.01","266.0000"
"2019-10-19","65.00","4385.30","240.0000"
"2019-10-29","75.00","4676.70","261.0000"
"2019-11-06","83.00","5764.57","302.0000"
"2019-11-24","67.00","4276.24","243.0000"
"2020-02-25","60.00","3362.24","176.0000"
"2020-03-09","60.00","4036.67","197.0000"
"2020-03-24","65.00","4663.05","239.0000"
"2020-04-10","60.00","4444.10","229.0000"
"2020-05-11","68.00","4755.57","252.0000"
"2020-05-25","67.00","4816.63","270.0000"
"2020-05-14","69.00","4607.11","241.0000"
"2020-08-01","127.00","7760.49","427.0000"
"2020-09-07","133.00","7829.20","433.0000"
"2020-10-28","125.00","6638.80","375.0000"
"2019-08-06","65.00","4860.50","230.0000"
"2019-08-30","83.00","5820.72","313.0000"
"2019-11-19","76.00","4467.35","248.0000"
"2019-12-06","64.00","3004.45","161.0000"
"2020-01-22","77.00","5131.66","268.0000"
"2020-01-23","81.00","5654.83","277.0000"
"2020-02-24","64.00","3846.34","205.0000"
"2020-03-21","53.00","4096.83","222.0000"
"2020-03-31","61.00","3888.91","199.0000"
"2020-06-17","111.00","5826.31","304.0000"
"2020-06-20","47.00","2028.80","122.0000"
"2020-07-30","138.00","7884.55","428.0000"
"2020-08-11","144.00","8913.20","470.0000"
"2020-09-18","126.00","7347.97","407.0000"
"2019-04-26","79.00","6064.37","274.0000"
"2019-05-02","69.00","5743.46","262.0000"
"2019-08-07","66.00","5026.23","231.0000"
"2019-08-02","71.00","4944.56","232.0000"
"2019-07-19","76.00","5432.00","247.0000"
"2019-07-18","71.00","5289.48","241.0000"
"2019-07-27","108.00","8886.28","447.0000"
"2019-11-03","71.00","4490.70","240.0000"
"2019-11-16","66.00","4465.52","239.0000"
"2020-01-15","69.00","3186.66","170.0000"
"2020-01-09","65.00","3426.48","180.0000"
"2020-05-15","65.00","4303.40","232.0000"
"2020-07-12","115.00","6989.78","385.0000"
"2020-07-27","131.00","6905.38","377.0000"
"2020-10-02","116.00","7179.18","403.0000"
"2019-05-29","79.00","6272.74","283.0000"
"2019-10-25","75.00","5117.08","273.0000"
"2019-11-12","76.00","5015.24","267.0000"
"2019-11-25","75.00","4820.38","255.0000"
"2019-12-02","52.00","1396.15","75.0000"
"2020-04-02","59.00","4637.31","237.0000"
"2020-05-30","62.00","4836.67","251.0000"
"2020-06-27","95.00","5873.80","310.0000"
"2020-07-09","139.00","8063.96","416.0000"
"2020-08-17","135.00","8887.95","493.0000"
"2020-09-11","124.00","8047.27","452.0000"
"2020-09-09","127.00","8251.08","461.0000"
"2020-09-21","126.00","7699.37","406.0000"
"2019-10-18","79.00","5514.87","268.0000"
"2020-01-31","58.00","4620.83","190.0000"
"2020-02-09","52.00","3438.08","165.0000"
"2020-04-16","65.00","5597.77","277.0000"
"2020-05-02","61.00","3824.83","202.0000"
"2020-05-26","68.00","4737.99","252.0000"
"2020-06-10","102.00","6669.17","344.0000"
"2020-06-14","98.00","6629.39","354.0000"
"2020-06-28","110.00","7021.64","361.0000"
"2020-07-06","141.00","7712.38","402.0000"
"2020-07-13","129.00","6828.01","379.0000"
"2020-07-25","117.00","7451.79","407.0000"
"2020-08-10","138.00","8388.94","444.0000"
"2020-09-13","109.00","6562.08","377.0000"
"2020-10-20","124.00","7261.23","399.0000"
"2020-11-19","123.00","7502.47","407.0000"
"2019-04-29","78.00","6084.89","270.0000"
"2019-05-09","74.00","6079.58","279.0000"
"2019-06-21","77.00","6794.30","284.0000"
"2019-06-26","85.00","7686.91","357.0000"
"2019-07-23","63.00","4971.63","239.0000"
"2019-07-22","71.00","5476.09","247.0000"
"2019-09-25","85.00","5554.25","285.0000"
"2019-10-23","83.00","5354.47","278.0000"
"2019-12-13","67.00","2447.65","124.0000"
"2020-02-03","54.00","4415.04","177.0000"
"2020-02-20","67.00","4464.35","219.0000"
"2020-03-02","62.00","4070.88","209.0000"
"2020-03-22","53.00","4082.15","214.0000"
"2020-05-27","76.00","4904.06","255.0000"
"2020-07-31","142.00","8304.89","436.0000"
"2020-08-02","127.00","7130.67","392.0000"
"2020-08-29","127.00","8092.75","461.0000"
"2020-10-19","117.00","6018.48","339.0000"
"2020-11-06","123.00","6325.17","346.0000"
"2020-11-26","134.00","6393.97","343.0000"
"2020-11-27","120.00","6837.94","388.0000"
"2020-11-28","122.00","6351.31","357.0000"
"2020-11-29","111.00","5734.17","318.0000"
"2020-11-30","123.00","6376.64","354.0000"
"2020-12-01","118.00","6199.61","346.0000"
"2020-12-02","123.00","6209.17","340.0000"
"2020-12-03","128.00","6460.57","358.0000"
"2020-12-04","123.00","6076.04","347.0000"
"2020-12-05","118.00","6425.07","356.0000"
"2020-12-06","116.00","6264.63","352.0000"
"2020-12-07","121.00","6354.72","354.0000"
"2020-12-08","122.00","6239.01","352.0000"
